epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.3782,0.71226,2.18639,1.14409,0.00333,1,0.995,0.88115,0.41153,2.821,0.94442,0.00018,0.00018,0.00018
2,184.985,0.4081,0.98969,0.95278,1,0.94612,0.995,0.68512,0.77735,2.73176,1.4405,0.000375298,0.000375298,0.000375298
3,270.612,0.38641,0.90382,0.94076,0.99525,1,0.995,0.86425,0.55648,1.84352,1.18533,0.000565645,0.000565645,0.000565645
4,351.997,0.36769,0.87344,0.93568,0.99583,1,0.995,0.93742,0.3353,1.56281,0.96147,0.000751043,0.000751043,0.000751043
5,426.479,0.40315,0.86093,0.95879,0.94451,1,0.98548,0.88014,0.45521,1.88511,1.05342,0.00093149,0.00093149,0.00093149
6,504.147,0.40981,0.73243,0.92741,0.94435,1,0.99262,0.90073,0.38866,1.48943,0.96576,0.00110699,0.00110699,0.00110699
7,578.381,0.40756,0.69991,0.93726,0.94239,1,0.96643,0.8057,0.45899,1.55014,1.04123,0.00127753,0.00127753,0.00127753
8,664.101,0.39921,0.68499,0.94838,0.84683,0.95,0.95278,0.75044,0.5557,1.83038,1.13095,0.00144313,0.00144313,0.00144313
9,740.352,0.37946,0.65079,0.95189,1,0.94796,0.98848,0.8672,0.45778,1.12093,1.04419,0.00160378,0.00160378,0.00160378
10,824.043,0.4035,0.66002,0.94959,0.99352,1,0.995,0.94333,0.33345,1.14731,0.87366,0.00175948,0.00175948,0.00175948
11,906.622,0.41364,0.61832,0.94312,1,0.98887,0.995,0.93157,0.37415,1.15556,0.92401,0.0017525,0.0017525,0.0017525
12,981.043,0.40948,0.58528,0.93481,0.97996,1,0.995,0.93696,0.37299,0.8378,0.97316,0.00172775,0.00172775,0.00172775
13,1056.6,0.40484,0.58507,0.9464,0.9905,1,0.995,0.92789,0.39629,0.82083,0.97917,0.001703,0.001703,0.001703
14,1130.89,0.41186,0.54455,0.94599,0.98939,1,0.995,0.92774,0.37722,0.78506,0.94792,0.00167825,0.00167825,0.00167825
15,1205.37,0.35798,0.51723,0.9435,0.95115,1,0.995,0.9495,0.30434,0.67164,0.87468,0.0016535,0.0016535,0.0016535
16,1279.4,0.35461,0.48483,0.93076,0.99227,1,0.995,0.80701,0.48518,0.89699,0.94483,0.00162875,0.00162875,0.00162875
17,1364.99,0.37075,0.50767,0.92319,0.99705,1,0.995,0.96875,0.27731,0.5494,0.83862,0.001604,0.001604,0.001604
18,1441.78,0.37901,0.48111,0.93091,0.99674,1,0.995,0.98179,0.26721,0.60089,0.83829,0.00157925,0.00157925,0.00157925
