epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.467,0.92065,2.8666,1.43234,0.00333,1,0.26196,0.16922,0.32654,3.09706,0.94183,4e-05,4e-05,4e-05
2,51.3744,0.77458,2.48602,1.39503,0.00333,1,0.995,0.8955,0.30638,3.05674,0.87578,9.802e-05,9.802e-05,9.802e-05
3,73.0835,0.51965,1.94059,1.02313,0.00333,1,0.995,0.88275,0.36363,2.94688,0.93006,0.000153664,0.000153664,0.000153664
4,89.7907,0.51966,1.42988,1.05258,0.00333,1,0.995,0.87037,0.40719,2.73897,0.98147,0.000206932,0.000206932,0.000206932
5,105.606,0.52825,1.03606,1.02846,0.00333,1,0.995,0.758,0.62054,2.94808,1.20012,0.000257824,0.000257824,0.000257824
6,129.17,0.56594,1.10475,1.04446,0.97671,1,0.995,0.8955,0.40367,2.51437,0.93952,0.00030634,0.00030634,0.00030634
7,145.42,0.54918,0.87663,1.00847,1,0.9953,0.995,0.90162,0.51989,2.50341,0.96504,0.00035248,0.00035248,0.00035248
8,160.829,0.66793,1.13798,1.14935,1,0.95906,0.995,0.90162,0.5062,2.54887,0.97749,0.000396244,0.000396244,0.000396244
9,176.674,0.60239,1.23944,1.05267,1,0.68768,0.995,0.95137,0.25889,2.58797,0.83356,0.000437632,0.000437632,0.000437632
10,191.959,0.32447,7.60115,0.66434,0.95288,1,0.995,0.90162,0.30696,2.41387,0.8451,0.000476644,0.000476644,0.000476644
11,207.258,0.49437,1.28878,0.98951,0.91756,1,0.995,0.90162,0.35005,2.35264,0.90108,0.00051328,0.00051328,0.00051328
12,221.49,0.55159,1.0209,1.01413,1,0.72752,0.995,0.9285,0.32649,2.56609,0.85632,0.00054754,0.00054754,0.00054754
13,235.845,0.42751,1.25921,1.02543,0.9469,1,0.995,0.85775,0.40714,2.52721,0.91385,0.000579424,0.000579424,0.000579424
14,249.941,0.47669,1.00606,1.0114,0.95123,1,0.995,0.84525,0.42618,2.3818,0.95642,0.000608932,0.000608932,0.000608932
15,264.076,0.48004,1.06554,0.96908,0.91584,1,0.995,0.8955,0.46159,2.13729,0.99845,0.000636064,0.000636064,0.000636064
16,278.477,0.54622,0.95061,1.01766,0.98142,1,0.995,0.945,0.43134,2.21814,0.98643,0.00066082,0.00066082,0.00066082
17,293.374,0.482,1.02635,1.01155,0.95249,1,0.995,0.8765,0.44165,2.09312,1.03917,0.0006832,0.0006832,0.0006832
18,309.161,1.06742,2.35395,1.34997,0.99394,1,0.995,0.945,0.43347,1.95721,1.01466,0.000703204,0.000703204,0.000703204
19,323.36,0.84554,2.39256,1.44009,1,0.97267,0.995,0.8955,0.59939,2.08072,1.13895,0.000720832,0.000720832,0.000720832
20,338.622,0.56442,0.97381,0.95296,0.9796,1,0.995,0.90775,0.4606,1.78827,0.95925,0.000736084,0.000736084,0.000736084
21,356.609,0.44187,0.87382,1.00445,0.97585,1,0.995,0.8955,0.42412,1.79389,0.93221,0.00074896,0.00074896,0.00074896
22,375.839,0.6058,0.91679,1.09086,0.98073,1,0.995,0.8955,0.4568,1.87602,0.98719,0.00075946,0.00075946,0.00075946
23,393.174,0.62699,1.04336,1.14752,0.984,1,0.995,0.8955,0.4772,1.7975,1.05009,0.000767584,0.000767584,0.000767584
24,414.17,0.75117,1.18735,1.19842,0.98674,1,0.995,0.93667,0.4158,1.56111,0.97422,0.000773332,0.000773332,0.000773332
