epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.4273,1.85787,4.19204,1.34292,0.0065,1,0.17473,0.03874,1.20434,4.10867,0.96473,0.0001667,0.0001667,0.0001667
2,161.557,1.18678,2.38177,0.92521,0.0065,1,0.58604,0.1637,0.94908,3.52828,0.86706,0.000345738,0.000345738,0.000345738
3,234.565,1.11676,1.60427,0.9151,0.00637,0.97368,0.03448,0.0232,1.17583,3.63451,0.93046,0.000520237,0.000520237,0.000520237
4,307.236,1.15617,1.48193,0.93016,0.00651,1,0.39649,0.26788,1.00415,3.50589,0.90867,0.000690198,0.000690198,0.000690198
5,379.975,1.09365,1.40602,0.92177,0.00533,0.81974,0.30889,0.24287,0.9563,3.53908,0.89395,0.000855621,0.000855621,0.000855621
6,451.73,1.1227,1.28462,0.94688,0.0065,1,0.52123,0.37823,1.02989,3.21381,0.88807,0.00101651,0.00101651,0.00101651
7,522.847,1.08685,1.19336,0.93184,1,0.53102,0.995,0.75398,0.96666,2.57561,0.86758,0.00117285,0.00117285,0.00117285
8,596.828,1.09478,1.24859,0.93909,1,0.42676,0.90834,0.64072,1.04165,2.57586,0.90368,0.00132466,0.00132466,0.00132466
9,669.929,1.026,1.08634,0.95173,0.98039,0.86067,0.98156,0.72933,0.98823,1.97588,0.88479,0.00147193,0.00147193,0.00147193
10,742.833,1.06645,1.12135,0.94679,0.9037,0.75176,0.88397,0.6309,1.03191,1.83803,0.90088,0.00148134,0.00148134,0.00148134
11,815.537,1.01401,1.05586,0.92488,0.95409,1,0.974,0.73789,0.94722,1.23842,0.89398,0.00146071,0.00146071,0.00146071
12,888.492,1.04057,0.99165,0.93999,0.95998,1,0.995,0.72933,1.00022,1.21338,0.94822,0.00144008,0.00144008,0.00144008
13,959.917,0.98734,0.93622,0.93405,0.9827,1,0.995,0.75159,0.97505,1.00746,0.91504,0.00141945,0.00141945,0.00141945
14,1030.97,1.02957,0.90558,0.94973,0.99233,1,0.995,0.69991,1.0243,1.0143,0.93979,0.00139882,0.00139882,0.00139882
15,1102.69,1.00015,0.88815,0.93927,0.98858,1,0.995,0.77079,0.91617,0.97732,0.90055,0.00137819,0.00137819,0.00137819
16,1175.23,1.04855,0.88638,0.93388,0.96977,1,0.995,0.70401,1.10523,1.15482,0.91,0.00135756,0.00135756,0.00135756
17,1246.63,1.01156,0.86815,0.92942,0.97179,1,0.982,0.72366,1.01073,0.98054,0.92501,0.00133693,0.00133693,0.00133693
18,1334.7,0.99413,0.84988,0.92731,0.98716,1,0.995,0.74689,0.95346,0.83932,0.92223,0.0013163,0.0013163,0.0013163
19,1410,1.01957,0.81231,0.93565,0.98888,1,0.995,0.72879,1.00143,0.87424,0.9203,0.00129568,0.00129568,0.00129568
20,1484.69,1.00922,0.8185,0.93097,0.99498,1,0.995,0.73135,0.96827,0.81936,0.94217,0.00127505,0.00127505,0.00127505
21,1557.01,0.97544,0.79306,0.93578,0.99447,1,0.995,0.75522,0.9483,0.76702,0.94494,0.00125442,0.00125442,0.00125442
22,1651.01,1.01569,0.80388,0.93177,0.99213,1,0.995,0.72603,0.91894,0.8268,0.94304,0.00123379,0.00123379,0.00123379
23,1739.27,1.00503,0.77554,0.92574,0.99334,1,0.995,0.75981,0.94281,0.76731,0.92504,0.00121316,0.00121316,0.00121316
24,1823.49,1.01186,0.76715,0.93343,0.99484,1,0.995,0.75865,0.9464,0.78335,0.91822,0.00119253,0.00119253,0.00119253
25,1905.23,0.9995,0.71611,0.93175,0.9689,1,0.995,0.72872,1.02915,0.77842,0.96396,0.0011719,0.0011719,0.0011719
26,1989.55,1.04536,0.72857,0.9359,0.99245,1,0.995,0.73769,0.99205,0.80534,0.96778,0.00115127,0.00115127,0.00115127
27,2078.43,1.03003,0.72134,0.93036,0.97085,1,0.995,0.75641,0.9458,0.72478,0.93009,0.00113064,0.00113064,0.00113064
28,2161.7,0.97335,0.70271,0.92054,0.99395,1,0.995,0.75656,0.96508,0.72539,0.92907,0.00111001,0.00111001,0.00111001
29,2243.69,0.94927,0.68115,0.91459,0.99068,1,0.995,0.75339,0.89827,0.78542,0.90352,0.00108938,0.00108938,0.00108938
30,2325.98,0.95514,0.66991,0.90941,0.99241,1,0.995,0.75029,0.99223,0.73011,0.92623,0.00106876,0.00106876,0.00106876
